transaction_id,customer_id,order_id,amount,currency,payment_status,failure_reason,customer_type,previous_successful_payments,previous_failed_payments,previous_recovery_attempts,historical_recovery_rate,customer_lifetime_value,time_since_failure_minutes,payment_method,checkout_abandoned,order_value_segment,ground_truth_best_strategy,ground_truth_recovery_probability,ground_truth_recovered,ground_truth_recovered_amount
txn_syn_0001,cust_syn_754,order_syn_0001,191.25,INR,FAILED,INCORRECT_OTP,FIRST_TIME,0,0,0,0.0,122.45,132,DEBIT_CARD,False,MICRO,PAYMENT_LINK,0.3977,False,0.0
txn_syn_0002,cust_syn_658,order_syn_0002,3500.56,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,29,4,0,0.76,9663.65,420,UPI,True,MEDIUM,PAYMENT_LINK,0.8145,True,3500.56
txn_syn_0003,cust_syn_649,order_syn_0003,664.78,INR,FAILED,INSUFFICIENT_FUNDS,FIRST_TIME,0,1,0,0.0,39.4,286,NET_BANKING,False,LOW,NO_ACTION,0.02,False,0.0
txn_syn_0004,cust_syn_384,order_syn_0004,941.99,INR,FAILED,INCORRECT_OTP,RETURNING,24,2,1,1.0,12056.34,1004,CREDIT_CARD,False,LOW,PAYMENT_LINK,0.6237,False,0.0
txn_syn_0005,cust_syn_963,order_syn_0005,920.82,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,4,3,0,0.78,21255.91,872,CREDIT_CARD,True,LOW,PAYMENT_LINK,0.536,True,920.82
txn_syn_0006,cust_syn_674,order_syn_0006,68674.79,INR,ABANDONED,CHECKOUT_DROPOFF,RETURNING,38,6,4,0.75,19375.83,451,CREDIT_CARD,True,ENTERPRISE,PAYMENT_LINK,0.7623,True,68674.79
txn_syn_0007,cust_syn_579,order_syn_0007,675.87,INR,FAILED,INSUFFICIENT_FUNDS,RETURNING,36,0,0,0.71,27774.58,1080,UPI,False,LOW,PAYMENT_LINK,0.6169,False,0.0
txn_syn_0008,cust_syn_619,order_syn_0008,2006.7,INR,FAILED,GATEWAY_REJECTED,RETURNING,10,5,1,0.0,30749.34,982,UPI,False,LOW,RETRY,0.2566,True,2006.7
txn_syn_0009,cust_syn_878,order_syn_0009,573.91,INR,FAILED,CARD_AUTHENTICATION_FAILED,RETURNING,9,2,2,0.5,47448.74,2827,CREDIT_CARD,False,LOW,ALTERNATE_FLOW,0.4751,False,0.0
txn_syn_0010,cust_syn_223,order_syn_0010,6295.37,INR,ABANDONED,CHECKOUT_DROPOFF,FIRST_TIME,0,0,0,0.0,10.52,243,UPI,True,MEDIUM,PAYMENT_LINK,0.6071,False,0.0
